[1]	C. Chasteen, ed. Division of the State Fire Marshal State of Florida, 2010.
[74]	B. Taylor, N. and C. Kuyatt, E., "Guidelines for Evaluating and Expressing the Uncertainty of NIST Measurement Results," National Institute of Standards and Technology, Gaithersburg, MD NIST TN 1297, September 1994.
[75]	B. N. Taylor and C. E. Kuyatt, "Guidelines for Evaluating and Expressing the Uncertainty of NIST Measurement Results," National Institute of Standards and Technology, Gaithersburg, MD NISTIR TN 1297, 1994.
[76]	G. Wilkes, Heat Insulation: John Wiley & Sons, 1950.
[77]	V. Babrauskas and R. Peacock, "Heat Release Rate: The Single Most Important Variable in Fire Hazard," Fire Safety Journal, vol. 18, pp. 255-272, 1992.
[78]	K. Goble, " Height of Flames Projecting from Compartment Openings," Masters, Masters Thesis Dept. of Civil and Natural Resources Engineering, University of Canterbury, Christchurch, NZ, 2007.
[79]	M. S. Isner, "High-Rise Office Building Fire, Alexis Nihon Plaza, Montreal, Canada," National Fire Protection Association, Quincy, MA1986.
[80]	B. Evarts, ""Home Fires That Began With Mattresses and Bedding"," National Fire Protection Association (NFPA), Quincy, MAOctober 2011.
[81]	M. Ahrens, ""Home Fires That Began with Upholstered Furniture"," National Fire Protection Agency (NFPA), Quincy, MAAugust 2011.
[82]	V. Babrauskas, Ignition Handbook. Issaquah, WA: Fire Science Publishers, 2003.
[83]	D. Thompson and H. Drysdale, "Ignition of PUFs: A Comparison of Modified and Unmodified Foams," London, Elsevier1990.
[84]	S. Kerber, "Impact of Ventilation on Fire Behavior in Legacy and Contemporary Residential Construction," Underwriters Laboratories, Northbrook, IL2010.
[85]	( 1992, In Touch, Information on Flexible Polyurethane Foam  	Vol. 2( No. 3). 
[86]	R. Campbell, "INTENTIONAL FIRES," Quincy, MAApril 2014.
[87]	"International Residential Code for One- and Two-Family Dwellings," in International Code Council, Inc., Country Club Hills, IL, 2006.
[88]	D. Drysdale, An Introduction to Fire Dynamics. West Sussex: John Wiley & Sons, 1998.
[89]	D. Fennell, Investigation into the King's Cross Underground Fire. London: The Department of Transport, 1988.
[90]	R. Bilbao, J. Mastral, J. Ceamanos, and M. Aldea, "Kinetics of the Thermal Decomposition of Polyurethane Foams in Nitrogen and Air Atmospheres," Journal of Analytical and Applied Pyrolysis, vol. 37, pp. 69-82, February 1996.
[91]	A. F. Roberts, "The King's Cross Fire: a correlation of eyewitness accounts and results of the scientific investigation," Fire Safety Journal, vol. 18, pp. 105-121, 1992.
[92]	K. Moodie, "The King's Cross Fire: Damage Assessment and Overview of the Technical Investigation," Fire Safety Journal, vol. 18, 1992.
[93]	D. D. Drysdale, A. J. R. Macmillan, and D. Shilitto, "The King's Cross Fire: experimental verification of the 'trench effect'," Fire Safety Journal, vol. 18, pp. 75-82, 1992.
[94]	K. Moodie and S. F. Jagger, "The King's Cross Fire: results and analysis from the scale model tests," Fire Safety Journal, vol. 18, pp. 83-103, 1992.
[95]	J. D. DeHaan and D. J. Icove, Kirk’s Fire Investigation, Seventh Edition ed. Prentice Hall, Upper Saddle River, New Jersey: Pearson, 2012.
[96]	K. B. McGrattan, H. R. Baum, and R. G. Rehm, "Large Eddy Simulations of Smoke Movement," Fire Safety Journal, vol. 30, pp. 161-178, 1998.
[97]	R. Dumont, H. Orr , and M. Lux, "Low Energy Prarie Housing," Division of Building Research, National Research Council of Canada, Ottowa1982.
[98]	G. Heskestad, "Luminous Heights of Turbulent Diffusion Flames," Fire Safety Journal, vol. 5, 1983.
[99]	(2013, February 11). MATBASE, "PVC Hard | Commodity Polymers Natural & synthetic Polymers | Material Categories | Mechanical, physical, chemical and environmental properties of materials Matbase: the online material selection resource. 
[100]	"MATERIAL SAFETY DATA SHEET Sheetrock Gypsum Panels," 6 ed. Chicago, Illinois: United States Gypsum Company, 2008.
[101]	B. Karlsson, "A mathematical model for calculating heat release rate in the room corner test," Fire Safety Journal, vol. 20, pp. 93-113, 1993.
[102]	F. Berna, "Microstratigraphic evidence of in situ fire in the Acheulean strata of Wonderwerk Cave, Northern Cape province, South Africa.," in Proceedings of the National Academy of Sciences of the United States of America., 2012.
[103]	R. W. Bukowski, "Modeling a Backdraft: The Fire at 62 Watts Street," NFPA Journal, vol. Vol. 89, No. 6,, pp. 85-89, November/December 1995.
[104]	C. Beyler, "Modeling Fire Growth in Room/Corner Configurations," NIST, Gaithersburg, MD 6588, November 2000.
[105]	Moisture Relations and Physical Properties of Wood, in Centennial edition of Wood handbook, Wood as an Engineering Material. Madison, WI: Forest Products Laboratory, 2010.
[106]	"National Institute of Standards and Technology," ed.
[107]	"National Type Evaluation Program," in Certificate Number 00-075A1,, ed. Mettler-Toledo
Worthington, OH. , 2002.
[108]	"NFPA 72, National Fire Alarm Code," ed. Quincy, MA: National Fire Protection Association (NFPA), 2002.
[109]	"NFPA 921, Guide for Fire and Explosion Investigations," ed. Quincy, MA,: National Fire Protection Association (NFPA), 2014.
[110]	NFPA 1971: Standard on Protective Ensembles for Structural Fire Fighting and Proximity Fire Fighting. Quincy, MA: National Fire Protection Association (NFPA), 2007.
[111]	R. A. Bryant, T. J. Ohlemiller, E. L. Johnsson, A. H. Hamins, B. S. Grove, W. F. Guthrie, et al., "The NIST 3 MW Quantitative Heat Release Rate Facility," National Institute of Standanrds and Technology, Gaithersburg, MD, NIST Special Publication NIST Special Publication 1007, 2003.
[112]	R. A. Bryant, T. J. Ohlemiller, E. L. Johnsson, A. H. Hamins, B. S. Grove, W. F. Guthrie, et al., "The NIST 3 MW Quantitative Heat Release Rate Facility: Description and Procedures," National Institute of Standards and Technology, Gaithersburg, MD NISTIR 7052, September  2004.
[113]	C. P. Butler, "Notes on the charring rates in wood," Fire Research Institute, Borehamwood Fire Research Note 896, 1971.
[114]	G. B. Grant and D. D. Drysdale, "Numerical modelling of early fire spread in warehouse fire," Fire Safety Journal vol. 24, pp. 247-278, 1995.
[115]	K. Prasad, R. Kramer, N. Marsh , and M. Nyden, "Numerical Simulation of Fire Spread on Polyurethane Foam Slabs.," in Fire and Materials 11th International Conference, San Francisco, CA, January 26-28, 2009.
[116]	D. Madrzykowski, "Office Work Station Heat Release Rate Study: Full Scale vs Bench Scale Proceedings," in 7th International Interflam Conference, London, 1996, pp. 47-55.
[117]	"Ogden Manufacturing Company," ed, April 2011.
[118]	T. J. Klem, "One Meridian Plaza, Philadelphia, PA, February 23, 1991," National Fire Protection Association, Quincy, MA1991.
[119]	B. Jones, "Performance of Gypsum Plasterboard Assemblies Exposed to Real Building Fires," Christchurch, NA2001.
[120]	N. Khan, Y. Su, S. Riffat, and C. Biggs. (2008, January ) Performance testing and comparison of turbine ventilators. Renewable Energy. 2441-2447. 
[121]	G. R. Colonna, "Plastics and Rubber," in Fire Protection Handbook. vol. II, ed Quincy, MA: National Fire Protection Association, 2003.
[122]	V. Babrauskas and R. B. Williamson, "Post flashover compartment fires: basis of a theoretical model," Fire and Materials, vol. 2, pp. 39-53, 1978.
[123]	J. Sutula. Practical Applications of The Fire Dynamics Simulator in Fire Protection Engineering Consulting. Fire Protection Engineering Magazine. 27-31. 
[124]	M. Spearpoint, "Predicting the Ignition and Burning of Wood in the Cone Calorimeter Using an Integral Mode," National Institute of Standards and Technology, Gaithersburg, MD1999.
[125]	M. Graham. (2001, January ) Principles of attic ventilation. Professional Roofing Magazine. 
[126]	J. Quintiere, Q, Principles of Fire Behavior. Albany, New York, USA: Delmar Publishing Company, 1997.
[127]	K. D. Rohr, "PRODUCTS FIRST IGNITED IN U.S. HOME FIRES," Quincy, MAApril 2005.
[128]	B. J. McCaffery, "Purely Buoyant Diffusion Flames: Some Experimental Results " National Bureau of Standards (currently NIST), Gaithersburg, MD NBSIR 79-1910, October 1979.
[129]	B. J. McCaffrey, "Purely Buoyant Diffusion Flames: Some Experimental Results," National Bureau of Standards, Washington D.C. NBSIR 79-1910, October 1979.
[130]	C. Wilkes, J. Summers, C. Daniels , and M. Berard, PVC Handbook: Hanser Verlag, , 2005.
[131]	E. Budnick and W. D. Walton, "Quick Response Sprinklers in Office Configurations: Fire Test Results," National Bureau of Standards (NIST), Gaithersburg, MD1988.
[132]	R. Bryant, C. Womeldorf, E. Johnsson, and T. Ohlemiller, "Radiative heat flux measurement uncertainty," Fire and Materials, vol. 27, pp. 209-222, 2003.
[133]	"Recommendations of The Research Advisory Council on Post-fire Analysis," Quincy, Masachusetts February 2002.
[134]	R. Gann, A. Hamins, K. McGrattan, G. Mullholland, H. Nelson, T. Ohlemiller, et al., "Reconstruction of the Fires in the World Trade Center Towers. Federal Building and Fire Safety Investigation of the World Trade Center Disaster," National Institute of Standards and Technology, Gaithersburg NCSTAR 1-5, December 2005.
[135]	T. o. I. A. Dublin, "Report of the Tribunal of Inquiry on the Fire at the Stardust," Stationary Office, Artane, Dublin1982.
[136]	S. o. California, "Requirements, Test Procedures and Apparatus for Testing the Flame Retardance of Resilient Filing Materials Used in Upholstered Furniture," State of California, Northlands, CA, Technical Bulletin 117 Technical Bulletin 117, 2000.
[137]	S. o. California, "Requirements, Test Procedures and Apparatus for Testing the Flame Retardance Of Upholtered Furniture," Northlands, CA, Technical Bulletin 1161980.
[138]	W. Pitts, M., A. V. Murthy, J. L. d. Ris, J.-R. Filtz, K. Nygard, D. Smith, et al., "Round robin study of total flux gauge calibration at fire  laboratories," Fire Safety Journal vol. 41, pp. pp 459-475, 2006.
[139]	J. J. Lentinin, Scientific Protocols for Fire Investigation. Boca Raton: Taylor & Francis, 2006.
[140]	M. Corporation, "Series 64 Heat Flux Transducers," Medtherm Corporation, Huntsville, AL Bulletin 118.
[141]	SFPE Handbook of Fire Protection Engineering 4th ed ed. Bethesda, MD.: Society of Fire Protection Engineers, 2008.
[142]	R. Vettori, D. Madrzykowski , and W. Walton, "Simulation of the Dynamics of a Fire in a One-Story Restaurant -- Texas, February 14, 2000," National Institute of Standards and Technology, Gaithersburg, MDOctober  2002.
[143]	D. Madrzykowski, G. Forney, and D. Walton, "Simulation of the Dynamics of a Fire in a Two-Story Duplex - Iowa, December 22, 1999," National Instutute of Standards and Technology, Gaithersburg NISTIR 6584, January 2002.
[144]	D. Madrzykowski , G. P. Forney, and W. D. Walton "Simulation of the dynamics of a fire in a two-story duplex—Iowa, December 22, 1999," National Institute of Standards and Technology, Gaithersburg, Md. NISTIR 6854, January 2002.
[145]	S. Kerber and N. Bryner, "Simulation of the Dynamics of a Fire in the Basement of a Hardware Store - New York, June 17, 2001," National Institute of Standards and Technology, Gaithersburg, MD. NISTIR 6510, December  2004.
[146]	A. Barowy  and D. Madrzykowski, "Simulation of the Dynamics of a Wind-Driven Fire in a Ranch-Style House - Texas," National Institute of Standards and Technology, Gaithersburg, MD NIST TN 1729, January 2012.
[147]	A. Barowy and D. Madrzykowski "Simulation of the dynamics of a wind-driven fire in a single-story ranch-style house—Texas," National Institue of Standards and Technology, Gaithersburg, MDApril 12, 2009.
[148]	R. Vettori and D. Madrzykowski, "Simulation of the Dynamics of the Fire at 3146 Cherry Road NE Washington D.C., May 30, 1999," National Institute of Standards and Technology, Gaithersburg, MD NISTIR 6510, April 2000.
[149]	D. Madrzykowski and R. L. Vettori, "Simulation of the dynamics of the fire at 3146 Cherry Road NE, Washington, D.C., May 30, 1999," National Institute of Standards and Technology, Gaithersburg, Md. NISTIR 6510, April 2000.
[150]	G. P. Forney, "Smokeview (Version 5), A tool for visualizing fire dynamics simulation data, Volume I: User’s Guide," National Institute of Standards and Technology, Gaithersburg, Md, NIST Special Publication 1017-1August 2007.
[151]	G. Forney, "Smokeview, A Tool for Visualizing Fire Dynamics Simulation Data
"  Special Publication 1017-1, September 2014.
[152]	G. P. Forney, "Smokeview, A Tool for Visualizing Fire Dynamics Simulation Data
"  Special Publication 1017-2, September 2014.
[153]	G. P. Forney, "Smokeview, A Tool for Visualizing Fire Dynamics Simulation Data
" September 2014.
[154]	T. Chan and D. Napier. (1973, February) Smoldering and Ignition of Cotton Fibres and Dust. Fire Prevention Science and Technology. 13-23. 
[155]	V. Babrauskas, "Specimen Heat Fluxes for Bench-Scale Heat Release Rate Testing, Fire and Materials," in Fire Safety, International Interflam Conference, 6th, London, England, 1993, pp. 57-74.
[156]	D. Madrzykowski and R. L. Vettori, "A Sprinkler Fire Suppression Algorithm," Journal of Fire Protection Engineering, vol. 4, pp. 151-164, 1992.
[157]	K. B. McGrattan, A. Hamins, and D. W. Stroup, "Sprinkler, Smoke and Heat Vent, Draft Curtain Interaction: Large Scale Experiments and Model Development," National Institute of Standards and Technology, Gaithersburg, MD, . International Fire Sprinkler-Smoke and Heat Vent-Draft Curtain Fire Test Project NISTIR 6196-1, 1998.
[158]	A. S. f. T. a. Materials, Standard Guide for Heated Systems Surface Conditions that Produce Contact Burn Injuries,. West Conshohocken, PA: American Society for Testing and Materials, 2009.
[159]	"Standard Guide for Room Fire Experiments," ASTM International Designation: E 603 - 07, 2008.
[160]	"Standard Practice for Full-Scale Oxygen Consumption Calorimetry Fire Tests," ed. West Conshohocken, PA.: ASTM International, 2008.
[161]	"Standard Practices for Full-Scale Oxygen Consumption Calorimetry Fire Tests," ASTM International, West Conshohocken Designation E 2067 - 08, 2008.
[162]	"Standard Specification for Gypsum Board," ASTM International, West Conshohocken Designation: C 1396/C 1396M 06a, 2008.
[163]	A. International, "Standard Specification for Gypsum Board," ed. West Conshohocken, PA: ASTM International, 2011.
[164]	"Standard Terminology of Fire Standards," ASTM International, West Conshohocken Designation: E 176 - 08, 2008.
[165]	"Standard Test Metho for Critical Radiant Flux of Floor-Covering Systems using a Radiant Heat Energy Source," ASTM International, West Conshohocken Designation: E 648 - 08, 2008.
[166]	"Standard Test Method for Determining Material Ignition and Flame Spread Properties," ASTM, West Conshohocken Designation: E 1321 - 08, 2008.
[167]	"Standard Test Method for Heat and Visible Smoke Release Rates for Materials and Products Using an Oxygen Consumption Calorimeter," ASTM International, West Conshohocken Designation: E 1354 - 08, 2008.
[168]	"Standard Test Method for Surface Burning Characteristics of Building Materials," in ASTM E-84-04, ed. West Conshohocken, PA: ASTM International, 2004.
[169]	W. A. Morris, "Stardust Disco Investigation - some observations on the full-scale fire tests," Fire Safety Journal, vol. 7, pp. 255-65, 1984.
[170]	"State Fire Marshal's Office Fire Fighter Fatality Investigation," ed. Texas State Fire Marshal's Office, Austin, Texas, 2009.
[171]	R. Nokes, "Streams," University of Canterbury, Christchurch, NZ.February 2011.
[172]	Strengthening Forensic Science in the United States, A Path Forward. Washington D.C.: National Research Council of the National Academies, 2009.
[173]	D. W. Stroup, N. P. Bryner, J. Lee, J. McElroy, G. Roadarmel, and W. H. Twilley, "Structural Collapse Fire Tests: Single Story Wood Frame Structures," National Institute of Standards and Technology, Gaithersburg MD NISTIR 7094, 2004.
[174]	K. Saito, "Study of Fire Induced Flow Along the Vertical Corner Wall.Part 2," National Institute of Standards and Technology, Gaithersburg, MD NIST-GCR-93-628, April 1993.
[175]	M. Poreh and G. Garrad, "A study of wall and corner fire plumes," Fire Safety Journal, vol. 34, 1999.
[176]	N. Bryner, P. Fuss, B. Klein , and A. Putorti, "Technical Study of the Sofa Super Store Fire - South Carolina, June 18, 2007," National Institute of Standards and Technology, Gaithersburg, MD NIST SP 1119, , "," ,.  March 2011.
[177]	N. P. Bryner, S. P. Fuss, B. W. Klein, and A. D. Putorti, "Technical study of the Sofa Super Store Fire, South Carolina, June 18, 2007," National Institute of Standards and Technology, Gaithersburg, Md NIST SP—1118, March 14, 2011.
[178]	"Technician I Kyle Wilson LODD Report," in Prince William County, Va, ed.
[179]	The Temperature Handbook. Stamford, CT: Omega Engineering Inc., 2004.
[180]	O. E. Inc, The Temperature Handbook vol. MM. Stamford, CT: Omega Engineering Inc, 2004.
[181]	W. M. Pitts, R. D. Braun, R. D. Peacock, H. E. Mitler, E. L. Johnsson, P. A. Reneke, et al., "Temperature Uncertainties for Bare-Bead and Aspirated Thermocouple 132 Measurements in Fire Environments," in Thermal Measurements: The Foundation of Fire Standards. American Society for Testing and Materials (ASTM), Dallas TX, 2001.
[182]	M. Donnelly, W. Davis, J. R. Lawson, and M. Selepak, "Thermal Environment for Electronic Equipment Used by First Responders," Gaithersburg, MD2006.
[183]	"Thermophysical Property Data," in SFPE Handbook of Fire Protection Engineering, ed Quincy, MA: NFPA, 2008, pp. A-33.
[184]	"Types of Insulation," in Energy.gov, ed, 2011.
[185]	K. Rohr, D., , " “The U.S. Home Product Report, Forms and Types of Materials First Ignited in Fires: Flammable or Combustible Liquids.” ", Quincy, MA.December 2001.
[186]	S. M. Olenick and D. J. Carpenter, "An Updated International Survey of Computer Models for Fire and Smoke," Journal of Fire Protection Engineering, vol. 13, May 2003.
